period,date,depth,aPlus,aMinus,checksum,bPlus,bMinus,cumDisp,change,rate
3,2026-03-10,12.5,,,,,,5.98,2.23,0.45
3,2026-03-10,13.0,,,,,,5.28,1.98,0.40
3,2026-03-10,13.5,,,,,,4.55,1.70,0.34
3,2026-03-10,14.0,,,,,,4.08,1.54,0.31
3,2026-03-10,14.5,,,,,,3.12,1.17,0.23
3,2026-03-10,15.0,,,,,,2.52,0.94,0.19
3,2026-03-10,15.5,,,,,,1.98,0.73,0.15
3,2026-03-10,16.0,,,,,,1.55,0.57,0.11
3,2026-03-10,16.5,,,,,,1.18,0.43,0.09
3,2026-03-10,17.0,,,,,,0.85,0.30,0.06
3,2026-03-10,17.5,,,,,,0.58,0.20,0.04
3,2026-03-10,18.0,,,,,,0.40,0.15,0.03
3,2026-03-10,18.5,,,,,,0.22,0.07,0.01
3,2026-03-10,19.0,,,,,,0.12,0.04,0.01
3,2026-03-10,19.5,,,,,,0.05,0.01,0.00
3,2026-03-10,20.0,,,,,,0.00,0.00,0.00
4,2026-03-15,0.0,,,,,,0.28,0.07,0.01
4,2026-03-15,0.5,,,,,,0.50,0.12,0.02
4,2026-03-15,1.0,,,,,,0.72,0.17,0.03
4,2026-03-15,1.5,,,,,,0.90,0.22,0.04
4,2026-03-15,2.0,,,,,,1.05,0.25,0.05
4,2026-03-15,2.5,,,,,,1.28,0.33,0.07
4,2026-03-15,3.0,,,,,,1.62,0.42,0.08
4,2026-03-15,3.5,,,,,,2.08,0.56,0.11
4,2026-03-15,4.0,,,,,,2.68,0.73,0.15
4,2026-03-15,4.5,,,,,,3.35,0.93,0.19
4,2026-03-15,5.0,,,,,,4.10,1.15,0.23
4,2026-03-15,5.5,,,,,,4.95,1.40,0.28
4,2026-03-15,6.0,,,,,,5.85,1.67,0.33
4,2026-03-15,6.5,,,,,,6.78,1.96,0.39
4,2026-03-15,7.0,,,,,,7.72,2.24,0.45
4,2026-03-15,7.5,,,,,,8.65,2.53,0.51
4,2026-03-15,8.0,,,,,,9.50,2.80,0.56
4,2026-03-15,8.5,,,,,,10.22,3.04,0.61
4,2026-03-15,9.0,,,,,,10.82,3.24,0.65
4,2026-03-15,9.5,,,,,,12.00,3.55,0.71
4,2026-03-15,10.0,,,,,,12.20,3.60,0.72
4,2026-03-15,10.5,,,,,,11.90,3.55,0.71
4,2026-03-15,11.0,,,,,,10.80,3.25,0.65
4,2026-03-15,11.5,,,,,,10.18,3.06,0.61
4,2026-03-15,12.0,,,,,,9.42,2.82,0.56
4,2026-03-15,12.5,,,,,,8.52,2.54,0.51
4,2026-03-15,13.0,,,,,,7.50,2.22,0.44
4,2026-03-15,13.5,,,,,,6.45,1.90,0.38
4,2026-03-15,14.0,,,,,,5.76,1.68,0.34
4,2026-03-15,14.5,,,,,,4.40,1.28,0.26
4,2026-03-15,15.0,,,,,,3.52,1.00,0.20
4,2026-03-15,15.5,,,,,,2.78,0.80,0.16
4,2026-03-15,16.0,,,,,,2.15,0.60,0.12
4,2026-03-15,16.5,,,,,,1.62,0.44,0.09
4,2026-03-15,17.0,,,,,,1.18,0.33,0.07
4,2026-03-15,17.5,,,,,,0.80,0.22,0.04
4,2026-03-15,18.0,,,,,,0.52,0.12,0.02
4,2026-03-15,18.5,,,,,,0.30,0.08,0.02
4,2026-03-15,19.0,,,,,,0.15,0.03,0.01
4,2026-03-15,19.5,,,,,,0.08,0.03,0.01
4,2026-03-15,20.0,,,,,,0.00,0.00,0.00
5,2026-03-20,0.0,5.59,-5.26,0.33,,,0.35,0.07,0.01
5,2026-03-20,0.5,5.25,-4.87,0.38,,,0.61,0.11,0.02
5,2026-03-20,1.0,4.97,-4.47,0.50,,,0.87,0.15,0.03
5,2026-03-20,1.5,4.32,-3.82,0.50,,,1.10,0.20,0.04
5,2026-03-20,2.0,6.56,-6.12,0.44,,,1.30,0.25,0.05
5,2026-03-20,2.5,9.29,-9.02,0.27,,,1.60,0.32,0.06
5,2026-03-20,3.0,12.55,-12.17,0.38,,,2.05,0.43,0.09
5,2026-03-20,3.5,15.84,-15.34,0.50,,,2.65,0.57,0.11
5,2026-03-20,4.0,19.02,-18.52,0.50,,,3.42,0.74,0.15
5,2026-03-20,4.5,20.77,-20.44,0.33,,,4.32,0.97,0.19
5,2026-03-20,5.0,23.62,-23.40,0.22,,,5.32,1.22,0.24
5,2026-03-20,5.5,24.85,-24.41,0.44,,,6.45,1.50,0.30
5,2026-03-20,6.0,26.14,-25.67,0.47,,,7.65,1.80,0.36
5,2026-03-20,6.5,26.26,-25.98,0.28,,,8.90,2.12,0.42
5,2026-03-20,7.0,26.68,-26.38,0.30,,,10.18,2.46,0.49
5,2026-03-20,7.5,24.46,-23.96,0.50,,,11.45,2.80,0.56
5,2026-03-20,8.0,21.54,-21.04,0.50,,,12.62,3.12,0.62
5,2026-03-20,8.5,17.64,-17.29,0.35,,,13.62,3.40,0.68
5,2026-03-20,9.0,18.73,-18.45,0.28,,,14.45,3.63,0.73
5,2026-03-20,9.5,4.60,-4.25,0.35,,,16.00,4.00,0.80
5,2026-03-20,10.0,-6.65,7.08,0.43,,,16.20,4.00,0.80
5,2026-03-20,10.5,-30.87,31.33,0.46,,,15.85,3.95,0.79
5,2026-03-20,11.0,-17.22,17.67,0.45,,,14.42,3.62,0.72
5,2026-03-20,11.5,-21.32,21.79,0.47,,,13.58,3.40,0.68
5,2026-03-20,12.0,-24.71,25.18,0.47,,,12.55,3.13,0.63
5,2026-03-20,12.5,-27.81,28.09,0.28,,,11.32,2.80,0.56
5,2026-03-20,13.0,-28.47,28.74,0.27,,,9.95,2.45,0.49
5,2026-03-20,13.5,-19.37,19.86,0.49,,,8.55,2.10,0.42
5,2026-03-20,14.0,-36.15,36.62,0.47,,,7.63,1.87,0.37
5,2026-03-20,14.5,-23.77,24.27,0.50,,,5.82,1.42,0.28
5,2026-03-20,15.0,-19.91,20.39,0.48,,,4.65,1.13,0.23
5,2026-03-20,15.5,-17.21,17.49,0.28,,,3.65,0.87,0.17
5,2026-03-20,16.0,-13.98,14.31,0.33,,,2.82,0.67,0.13
5,2026-03-20,16.5,-12.23,12.68,0.45,,,2.12,0.50,0.10
5,2026-03-20,17.0,-9.51,9.98,0.47,,,1.52,0.34,0.07
5,2026-03-20,17.5,-7.29,7.76,0.47,,,1.02,0.22,0.04
5,2026-03-20,18.0,-5.38,5.69,0.31,,,0.65,0.13,0.03
5,2026-03-20,18.5,-3.90,4.23,0.33,,,0.38,0.08,0.02
5,2026-03-20,19.0,-1.41,1.88,0.47,,,0.20,0.05,0.01
5,2026-03-20,19.5,-1.92,2.42,0.50,,,0.10,0.02,0.00
5,2026-03-20,20.0,0.38,0.05,0.43,,,0.00,0.00,0.00
6,2026-03-24,0.0,6.55,-6.22,0.33,,,0.41,0.06,0.01
6,2026-03-24,0.5,6.20,-5.82,0.38,,,0.72,0.11,0.03
6,2026-03-24,1.0,5.88,-5.35,0.53,,,1.03,0.16,0.04
6,2026-03-24,1.5,5.10,-4.55,0.55,,,1.30,0.20,0.05
6,2026-03-24,2.0,7.82,-7.38,0.44,,,1.55,0.25,0.06
6,2026-03-24,2.5,11.15,-10.88,0.27,,,1.92,0.32,0.08
6,2026-03-24,3.0,15.18,-14.80,0.38,,,2.48,0.43,0.11
6,2026-03-24,3.5,19.25,-18.70,0.55,,,3.22,0.57,0.14
6,2026-03-24,4.0,23.25,-22.70,0.55,,,4.18,0.76,0.19
6,2026-03-24,4.5,25.58,-25.25,0.33,,,5.32,1.00,0.25
6,2026-03-24,5.0,29.30,-29.08,0.22,,,6.60,1.28,0.32
6,2026-03-24,5.5,31.02,-30.58,0.44,,,8.05,1.60,0.40
6,2026-03-24,6.0,32.80,-32.33,0.47,,,9.60,1.95,0.49
6,2026-03-24,6.5,33.10,-32.82,0.28,,,11.22,2.32,0.58
6,2026-03-24,7.0,33.75,-33.45,0.30,,,12.88,2.70,0.68
6,2026-03-24,7.5,31.08,-30.53,0.55,,,14.55,3.10,0.78
6,2026-03-24,8.0,27.48,-26.98,0.50,,,16.10,3.48,0.87
6,2026-03-24,8.5,22.60,-22.25,0.35,,,17.45,3.83,0.96
6,2026-03-24,9.0,24.08,-23.80,0.28,,,18.58,4.13,1.03
6,2026-03-24,9.5,5.95,-5.60,0.35,,,20.70,4.70,1.18
6,2026-03-24,10.0,-8.62,9.05,0.43,,,21.00,4.80,1.20
6,2026-03-24,10.5,-40.02,40.48,0.46,,,20.55,4.70,1.18
6,2026-03-24,11.0,-22.15,22.60,0.45,,,18.55,4.13,1.03
6,2026-03-24,11.5,-27.35,27.82,0.47,,,17.42,3.84,0.96
6,2026-03-24,12.0,-31.60,32.07,0.47,,,16.05,3.50,0.88
6,2026-03-24,12.5,-35.50,35.78,0.28,,,14.45,3.13,0.78
6,2026-03-24,13.0,-36.28,36.55,0.27,,,12.68,2.73,0.68
6,2026-03-24,13.5,-24.58,25.07,0.49,,,10.85,2.30,0.57
6,2026-03-24,14.0,-45.58,46.05,0.47,,,9.62,1.99,0.50
6,2026-03-24,14.5,-29.90,30.50,0.60,,,7.32,1.50,0.38
6,2026-03-24,15.0,-24.92,25.40,0.48,,,5.82,1.17,0.29
6,2026-03-24,15.5,-21.45,21.73,0.28,,,4.55,0.90,0.23
6,2026-03-24,16.0,-17.25,17.58,0.33,,,3.48,0.66,0.17
6,2026-03-24,16.5,-15.00,15.45,0.45,,,2.60,0.48,0.12
6,2026-03-24,17.0,-11.58,12.05,0.47,,,1.85,0.33,0.08
6,2026-03-24,17.5,-8.93,9.40,0.47,,,1.25,0.23,0.06
6,2026-03-24,18.0,-6.62,6.93,0.31,,,0.80,0.15,0.04
6,2026-03-24,18.5,-4.62,4.95,0.33,,,0.45,0.07,0.02
6,2026-03-24,19.0,-1.55,2.02,0.47,,,0.22,0.02,0.01
6,2026-03-24,19.5,-2.30,2.82,0.52,,,0.12,0.02,0.01
6,2026-03-24,20.0,0.38,0.05,0.43,,,0.00,0.00,0.00
7,2026-03-27,0.0,,,,,,0.48,0.07,0.02
7,2026-03-27,0.5,,,,,,0.84,0.12,0.04
7,2026-03-27,1.0,,,,,,1.20,0.17,0.06
7,2026-03-27,1.5,,,,,,1.52,0.22,0.07
7,2026-03-27,2.0,,,,,,1.85,0.30,0.10
7,2026-03-27,2.5,,,,,,2.28,0.36,0.12
7,2026-03-27,3.0,,,,,,2.98,0.50,0.17
7,2026-03-27,3.5,,,,,,3.90,0.68,0.23
7,2026-03-27,4.0,,,,,,5.10,0.92,0.31
7,2026-03-27,4.5,,,,,,6.55,1.23,0.41
7,2026-03-27,5.0,,,,,,8.20,1.60,0.53
7,2026-03-27,5.5,,,,,,10.10,2.05,0.68
7,2026-03-27,6.0,,,,,,12.12,2.52,0.84
7,2026-03-27,6.5,,,,,,14.25,3.03,1.01
7,2026-03-27,7.0,,,,,,16.42,3.54,1.18
7,2026-03-27,7.5,,,,,,18.62,4.07,1.36
7,2026-03-27,8.0,,,,,,20.72,4.62,1.54
7,2026-03-27,8.5,,,,,,22.55,5.10,1.70
7,2026-03-27,9.0,,,,,,24.08,5.50,1.83
7,2026-03-27,9.5,,,,,,26.85,6.15,2.05
7,2026-03-27,10.0,,,,,,27.20,6.20,2.07
7,2026-03-27,10.5,,,,,,26.65,6.10,2.03
7,2026-03-27,11.0,,,,,,23.95,5.40,1.80
7,2026-03-27,11.5,,,,,,22.42,5.00,1.67
7,2026-03-27,12.0,,,,,,20.58,4.53,1.51
7,2026-03-27,12.5,,,,,,18.45,4.00,1.33
7,2026-03-27,13.0,,,,,,16.12,3.44,1.15
7,2026-03-27,13.5,,,,,,13.72,2.87,0.96
7,2026-03-27,14.0,,,,,,12.11,2.49,0.83
7,2026-03-27,14.5,,,,,,9.15,1.83,0.61
7,2026-03-27,15.0,,,,,,7.22,1.40,0.47
7,2026-03-27,15.5,,,,,,5.62,1.07,0.36
7,2026-03-27,16.0,,,,,,4.28,0.80,0.27
7,2026-03-27,16.5,,,,,,3.18,0.58,0.19
7,2026-03-27,17.0,,,,,,2.25,0.40,0.13
7,2026-03-27,17.5,,,,,,1.50,0.25,0.08
7,2026-03-27,18.0,,,,,,0.95,0.15,0.05
7,2026-03-27,18.5,,,,,,0.52,0.07,0.02
7,2026-03-27,19.0,,,,,,0.28,0.06,0.02
7,2026-03-27,19.5,,,,,,0.14,0.02,0.01
7,2026-03-27,20.0,,,,,,0.00,0.00,0.00
8,2026-04-03,0.0,,,,,,0.54,0.06,0.01
8,2026-04-03,0.5,,,,,,0.97,0.13,0.02
8,2026-04-03,1.0,,,,,,1.40,0.20,0.03
8,2026-04-03,1.5,,,,,,1.78,0.26,0.04
8,2026-04-03,2.0,,,,,,2.20,0.35,0.05
8,2026-04-03,2.5,,,,,,2.72,0.44,0.06
8,2026-04-03,3.0,,,,,,3.58,0.60,0.09
8,2026-04-03,3.5,,,,,,4.72,0.82,0.12
8,2026-04-03,4.0,,,,,,6.22,1.12,0.16
8,2026-04-03,4.5,,,,,,8.05,1.50,0.21
8,2026-04-03,5.0,,,,,,10.15,1.95,0.28
8,2026-04-03,5.5,,,,,,12.62,2.52,0.36
8,2026-04-03,6.0,,,,,,15.25,3.13,0.45
8,2026-04-03,6.5,,,,,,18.05,3.80,0.54
8,2026-04-03,7.0,,,,,,20.95,4.53,0.65
8,2026-04-03,7.5,,,,,,23.88,5.26,0.75
8,2026-04-03,8.0,,,,,,26.72,6.00,0.86
8,2026-04-03,8.5,,,,,,29.22,6.67,0.95
8,2026-04-03,9.0,,,,,,31.32,7.24,1.03
8,2026-04-03,9.5,,,,,,35.50,8.65,1.24
8,2026-04-03,10.0,,,,,,36.00,8.80,1.26
8,2026-04-03,10.5,,,,,,35.20,8.55,1.22
8,2026-04-03,11.0,,,,,,31.00,7.05,1.01
8,2026-04-03,11.5,,,,,,28.88,6.46,0.92
8,2026-04-03,12.0,,,,,,26.35,5.77,0.82
8,2026-04-03,12.5,,,,,,23.52,5.07,0.72
8,2026-04-03,13.0,,,,,,20.45,4.33,0.62
8,2026-04-03,13.5,,,,,,17.32,3.60,0.51
8,2026-04-03,14.0,,,,,,15.20,3.09,0.44
8,2026-04-03,14.5,,,,,,11.42,2.27,0.32
8,2026-04-03,15.0,,,,,,8.95,1.73,0.25
8,2026-04-03,15.5,,,,,,6.92,1.30,0.19
8,2026-04-03,16.0,,,,,,5.22,0.94,0.13
8,2026-04-03,16.5,,,,,,3.85,0.67,0.10
8,2026-04-03,17.0,,,,,,2.72,0.47,0.07
8,2026-04-03,17.5,,,,,,1.80,0.30,0.04
8,2026-04-03,18.0,,,,,,1.10,0.15,0.02
8,2026-04-03,18.5,,,,,,0.62,0.10,0.01
8,2026-04-03,19.0,,,,,,0.32,0.04,0.01
8,2026-04-03,19.5,,,,,,0.16,0.02,0.00
8,2026-04-03,20.0,,,,,,0.00,0.00,0.00
