period,date,previousPeriod,previousDate,intervalDays,depth,cumDisp,prevCumDisp,change,rate,isChangeMissing,isRateMissing
8,2026-04-03,7,2026-03-27,7,10.5,35.20,26.65,8.55,1.22,false,false
8,2026-04-03,7,2026-03-27,7,11.0,31.00,23.95,7.05,1.01,false,false
8,2026-04-03,7,2026-03-27,7,11.5,28.88,22.42,6.46,0.92,false,false
8,2026-04-03,7,2026-03-27,7,12.0,26.35,20.58,5.77,0.82,false,false
8,2026-04-03,7,2026-03-27,7,12.5,23.52,18.45,5.07,0.72,false,false
8,2026-04-03,7,2026-03-27,7,13.0,20.45,16.12,4.33,0.62,false,false
8,2026-04-03,7,2026-03-27,7,13.5,17.32,13.72,3.60,0.51,false,false
8,2026-04-03,7,2026-03-27,7,14.0,15.20,12.11,3.09,0.44,false,false
8,2026-04-03,7,2026-03-27,7,14.5,11.42,9.15,2.27,0.32,false,false
8,2026-04-03,7,2026-03-27,7,15.0,8.95,7.22,1.73,0.25,false,false
8,2026-04-03,7,2026-03-27,7,15.5,6.92,5.62,1.30,0.19,false,false
8,2026-04-03,7,2026-03-27,7,16.0,5.22,4.28,0.94,0.13,false,false
8,2026-04-03,7,2026-03-27,7,16.5,3.85,3.18,0.67,0.10,false,false
8,2026-04-03,7,2026-03-27,7,17.0,2.72,2.25,0.47,0.07,false,false
8,2026-04-03,7,2026-03-27,7,17.5,1.80,1.50,0.30,0.04,false,false
8,2026-04-03,7,2026-03-27,7,18.0,1.10,0.95,0.15,0.02,false,true
8,2026-04-03,7,2026-03-27,7,18.5,0.62,0.52,0.10,0.01,false,false
8,2026-04-03,7,2026-03-27,7,19.0,0.32,0.28,0.04,0.01,false,false
8,2026-04-03,7,2026-03-27,7,19.5,0.16,0.14,0.02,0.00,false,false
8,2026-04-03,7,2026-03-27,7,20.0,0.00,0.00,0.00,0.00,false,false
