stepId,questionId,questionLabel,questionDesc,questionType,maxScore,correctAnswer,analysis
STEP09,Q028,线材选择,请选择与读数仪测量接口匹配的线材。,singleChoice,1,OPT099,滑动式测斜仪探头接口应选择5针圆形航空插头线。
STEP09,Q029,测孔参数设置-测区编号,请输入测区编号。,fillValue,1,03,本次任务测区编号为03。
STEP09,Q030,测孔参数设置-孔号,请输入测孔孔号。,fillValue,1,06,本次任务测孔孔号为06。
STEP09,Q031,测孔参数设置-孔深,请输入测孔孔深。,fillValue,1,20,本次测孔孔深为20m。
STEP09,Q032,探头设置-方向,请选择探头方向。,singleChoice,1,OPT103,测斜探头方向应设置为向上。
STEP09,Q033,探头设置-步长,请选择探头步长。,singleChoice,1,OPT105,本次逐点采集步长应设置为0.5m。
STEP09,Q034,补测点位-组号,请输入补测点位组号。,fillValue,1,05,异常补测点位组号应设置为05。
STEP09,Q035,补测点位-深度,请输入补测点位深度。,fillValue,1,12.5,异常点位位于12.5m，应对该深度进行补测。
STEP09,Q036,补测点位-方向,请选择补测点位方向。,singleChoice,1,OPT110,12.5m异常由反测值偏差引起，补测方向应选择反测。
STEP09,Q037,正测朝向,请选择正测朝向。,singleChoice,1,OPT115,正测朝向图片选项中，A为正确朝向。
STEP09,Q038,正测线材位置,请选择正测线材靠齐方位。,singleChoice,1,OPT122,正测时线材应靠齐W方向。
STEP09,Q039,20m正测值,请输入20m正测值。,fillValue,1,0.38,该测量点应在仪器稳定30秒后读数。
STEP09,Q040,19.5m正测值,请输入19.5m正测值。,fillValue,1,-2.02,该测量点应在仪器稳定5秒后读数。
STEP09,Q041,19.0m正测值,请输入19.0m正测值。,fillValue,1,-1.32,该测量点应在仪器稳定5秒后读数。
STEP09,Q042,18.5m正测值,请输入18.5m正测值。,fillValue,1,-3.98,该测量点应在仪器稳定5秒后读数。
STEP09,Q043,18.0m正测值,请输入18.0m正测值。,fillValue,1,-5.70,该测量点应在仪器稳定5秒后读数。
STEP09,Q044,20m反测值,请输入20m反测值。,fillValue,1,0.05,该测量点应在仪器稳定30秒后读数。
STEP09,Q045,19.5m反测值,请输入19.5m反测值。,fillValue,1,2.48,该测量点应在仪器稳定5秒后读数。
STEP09,Q046,19.0m反测值,请输入19.0m反测值。,fillValue,1,1.80,该测量点应在仪器稳定5秒后读数。
STEP09,Q047,18.5m反测值,请输入18.5m反测值。,fillValue,1,4.30,该测量点应在仪器稳定5秒后读数。
STEP09,Q048,18.0m反测值,请输入18.0m反测值。,fillValue,1,6.02,该测量点应在仪器稳定5秒后读数。
STEP09,Q049,12.5m正测值,请输入12.5m正测值。,fillValue,1,-31.65,该测量点正反测校验和超出量程，应补测。
STEP09,Q050,12.5m反测值,请输入12.5m反测值。,fillValue,1,32.02,该测量点正反测校验和超出量程，应补测。
STEP09,Q051,收工顺序,请选择正确的收工顺序。,singleChoice,1,OPT123,收工时应先关闭电源，再拔除线材，避免带电插拔和数据中断风险。
STEP10,Q052,导入前连接状态,点击导入时读数仪是否已连接？,singleChoice,1,OPT125,数据导入前应先连接读数仪并确认设备状态。本项按点击导入时的连接状态判分，而不是按最早操作顺序判分。
STEP10,Q053,测区值,请输入导入数据时选择的测区编号。,fillValue,1,03,本次数据导入对象为03区，应在导入时选择03区。
STEP10,Q054,孔号值,请输入导入数据时选择的孔号。,fillValue,1,06,本次数据导入对象为03区06孔，应在导入时选择06孔。
STEP10,Q055,累计位移补全-10.0m,请输入第6期10.0m深度的累计位移。,fillValue,1,21.00,分析导入的第6期本期数据后，10.0m深度处累计位移数据缺失。根据第10步CSV数据表中同一测孔本期位移数据和相邻深度位移趋势，应补全该深度累计位移为21.00mm。
STEP10,Q056,累计位移补全-14.0m,请输入第6期14.0m深度的累计位移。,fillValue,1,9.62,分析导入的第6期本期数据后，14.0m深度处累计位移数据缺失。根据第10步CSV数据表中同一测孔本期位移数据和相邻深度位移趋势，应补全该深度累计位移为9.62mm。
STEP11,Q057,孔号,请输入本期日报表对应的监测孔号。,fillValue,1,CX-06,本期日报表对应03区06孔，标准孔号为CX-06；填写时包含06的孔号会在提交前规范为CX-06。
STEP11,Q058,监测期次,请输入本期日报表的监测期次。,fillValue,1,8,本期日报表为第8期监测日报表，期次应填写8。
STEP11,Q059,仪器型号,请选择本期监测使用的仪器型号。,fillValue,1,CX-03E,本期深层水平位移数据来自CX-03E型滑动式测斜仪。
STEP11,Q060,2.0m 本次变化量,请输入第8期2.0m深度的本次变化量。,fillValue,2,0.35,第8期2.0m累计位移为2.20mm，上期累计位移为1.85mm，本次变化量=2.20-1.85=0.35mm。
STEP11,Q061,10.0m 本次变化量,请输入第8期10.0m深度的本次变化量。,fillValue,2,8.80,第8期10.0m累计位移为36.00mm，上期累计位移为27.20mm，本次变化量=36.00-27.20=8.80mm。
STEP11,Q062,10.0m 变化速率,请输入第8期10.0m深度的变化速率。,fillValue,2,1.26,第8期与第7期间隔7天，10.0m本次变化量为8.80mm，变化速率=8.80/7=1.26mm/d。
STEP11,Q063,18.0m 变化速率,请输入第8期18.0m深度的变化速率。,fillValue,2,0.02,第8期18.0m累计位移为1.10mm，上期累计位移为0.95mm，本次变化量=0.15mm，变化速率=0.15/7=0.02mm/d。
STEP11,Q064,曲线形态成因,请选择本期深度-位移曲线的主要形态成因。,singleChoice,3,OPT127,本期曲线中部位移明显增大，符合开挖卸荷导致中部土压力释放，墙体向坑内鼓出的变形特征。
STEP11,Q065,预警等级,请选择本期监测结果对应的预警等级。,singleChoice,2,OPT132,本期10.0m累计位移达到36.00mm，超过控制值50mm的70%黄色预警阈值35mm，因此应判定为黄色预警。
STEP12,Q066,累计位移增长最大的深度,观察多期曲线，判断累计位移增长幅度最大的深度。,singleChoice,2,OPT136,第8期曲线中10m附近累计位移最大且多期增长最明显，应判断累计位移增长最大深度为10m。
STEP12,Q067,位移加速起始期次,哪一期开始出现明显位移加速？,singleChoice,4,OPT141,对比多期曲线斜率，第7期开始10m附近累计位移增幅明显扩大，说明位移从第7期开始加速。
STEP12,Q068,近3期增量最大深度区段,对比第6期至第8期，位移增量最大的深度区段是？,singleChoice,3,OPT144,第6期至第8期中5~10m区段曲线外鼓和增量最明显，应判定为近3期增量最大区段。
STEP12,Q069,超过预警值的深度,第8期中哪些深度的累计位移超过黄色预警值35mm？,singleChoice,4,OPT149,黄色预警阈值为50mm控制值的70%，即35mm。第8期9.5m为35.50mm，10.0m为36.00mm，10.5m为35.20mm，均超过或达到预警判断范围。
STEP12,Q070,10m近3期发展趋势,10m深度处近3期累计位移趋势判定。,singleChoice,2,OPT151,10m累计位移第6期为21.00mm，第7期为27.20mm，第8期为36.00mm，近3期增量持续扩大，应判定为加速增大。
STEP12,Q071,应采取的处理措施,结合预警等级和趋势，判断应采取的措施。,singleChoice,4,OPT155,当前累计位移超过黄色预警阈值且10m附近趋势加速，应加密监测频次并通知设计单位复核。
STEP12,Q072,下期监测间隔建议,参照GB50497，下一期监测间隔应如何调整？,singleChoice,3,OPT159,已达到黄色预警并存在加速趋势，下期监测间隔不宜维持7天，应缩短至3天以加强跟踪。
