questionId,optionId,optionLabel1,optionLabel2,desc,x,y,image
Q012,OPT043,C,松散绑扎，允许管体自由滑动,,,,
Q012,OPT044,D,用钢丝直接焊接在钢筋上,,,,
Q013,OPT045,A,方向有偏差但在允许范围内，可通过软件校正补偿，不必现场处理，直接进入测量,,,,
Q013,OPT046,B,方向偏转超限，应记录实际偏差角度并上报，由技术负责人确认后重新标定A+方向再进行后续工作,,,,
Q013,OPT047,C,方向偏转，应在管口处旋转管体将导槽对准设计方向后固定,,,,
Q013,OPT048,D,方向偏转，该孔不可修复，应判废并在旁边重新钻孔埋管,,,,
Q014,OPT049,A,管口敞开但导槽可见且完好，说明管体未受损，可直接进入通槽复测,,,,
Q014,OPT050,B,管口敞开，应先用高压气枪吹净管内杂物，再加装保护盖,,,,
Q014,OPT051,C,管口敞开且有碎屑，应先清理管口碎屑防止落入管内，再加装专用保护盖封堵,,,,
Q014,OPT052,D,管口敞开，应用塑料薄膜和胶带临时封口即可，正式保护盖可后续补装,,,,
Q015,OPT053,A,管口被混凝土覆盖，应使用电钻在管口位置钻透混凝土层，快速恢复管口通道,,,,
Q015,OPT054,B,管口被混凝土覆盖，应使用高压水枪冲洗溶解混凝土浆，避免机械损伤,,,,
Q015,OPT055,C,管口被混凝土完全覆盖，管体大概率已被压损，应判废该孔,,,,
Q015,OPT056,D,管口被混凝土覆盖，应人工小心凿除管口周围混凝土，清理后检查管口和导槽完整性再恢复保护,,,,
Q016,OPT057,A,外观合格，但应加做一次方向复核以确保万无一失,,,,
Q016,OPT058,B,外观合格，但保护盖应更换为金属盖帽以提高防护等级,,,,
Q016,OPT059,C,外观合格，状态满足验收要求，可进入通槽复测,,,,
Q016,OPT060,D,外观合格，但外露高度0.5m偏高，应截短至与地面齐平以防碰撞,,,,
Q017,OPT061,A,通槽合格，可进行初始值测量,,,,prep.connectivity.cx01.pass.option
Q017,OPT062,B,虽然顺畅，但因管口验收时有方向偏转问题，通槽结果不可信，需重新检测,,,,
Q017,OPT063,C,顺畅到底只能说明无堵塞，还需加做水密性测试才能判定合格,,,,
Q017,OPT064,D,顺畅到底但应在8m和16m处各停留观察5分钟，确认无缓慢卡滞后再判定,,,,
Q018,OPT065,A,通槽不合格，8m处可能为管体断裂，该孔应判废,,,,
Q018,OPT066,B,通槽不合格，可加大下压力强行推过受阻点,,,,
Q018,OPT067,C,通槽不合格，8m处受阻可能为落入碎屑或接头错位，应记录受阻深度并上报，安排疏通后复测,,,,prep.connectivity.cx02.block8m.option
Q018,OPT068,D,通槽不合格，应立即拔出管体更换新管重新埋设,,,,
Q019,OPT069,A,能到底即为合格，阻力偏大不影响后续测量,,,,
Q019,OPT070,B,通槽不合格，全程阻力偏大说明管体已严重变形，该孔应判废,,,,
Q019,OPT071,C,通槽有条件合格，但应记录阻力异常情况，评估是否影响测斜探头正常读数，必要时复测确认,,,,prep.connectivity.cx03.resistance.option
Q019,OPT072,D,通槽不合格，应向管内注水冲洗以降低摩擦阻力,,,,
Q020,OPT073,A,管口验收合格则管体应无问题，可能是探头故障，更换探头后重新检测即可,,,,
Q020,OPT074,B,通槽不合格，16m处受阻可能为深部接头错位或变形，应记录受阻深度并上报，安排检查处理,,,,prep.connectivity.cx04.block16m.option
Q020,OPT075,C,通槽不合格，但16m已超过基坑开挖深度，不影响监测范围，可判定合格,,,,
Q020,OPT076,D,通槽不合格，16m以下数据不可用，将该孔有效深度改为16m继续使用即可,,,,
Q021,OPT077,A,应立即测量，这是开挖前最后的窗口期，测完即可开挖,,,,
Q021,OPT078,B,应在开挖前完成初测，且至少连续测量2~3次确认数据稳定后方可作为基准,,,,
Q021,OPT079,C,应等第一层土方开挖后再测，开挖前围护结构无变形，测了也是零值无意义,,,,
Q021,OPT080,D,混凝土养护仅14天未达28天设计强度，此时测量数据不可靠，应等强度达标后再测,,,,
Q022,OPT081,A,可以，数据平稳无突变，满足基准要求,,,,
Q022,OPT082,B,不可以，仅测量1次且未做正反测，无法验证数据重复性和探头标定，应补做正反测并至少再测1~2次,,,,
Q022,OPT083,C,不可以，A向和B向读数符号相反说明探头方向装反，数据全部作废需重新测量,,,,
Q022,OPT084,D,可以，正反测只是精度加分项并非必须，1次测量数据平稳即可作为基准,,,,
Q023,OPT085,A,多云微风,适宜测量。天气多云，气温18°C，风力2级（东南风约3m/s），无降水，24h预报午后转阴傍晚有小雨。,,,acq.safety.weather.cloudy.thumb
Q023,OPT086,B,暴雨强风,应暂停。持续大雨，气温15°C，风力5级（约10m/s），湿度95%，24h预报午后转中雨。,,,acq.safety.weather.storm.thumb
Q023,OPT087,C,6级大风,应暂停。晴天但风力6级（约13m/s），地面扬尘，气温22°C，24h预报午后风力加大至7级。,,,
Q023,OPT088,D,大雾低能见,安全风险。浓雾弥漫，能见度极低，气温12°C，湿度98%，24h预报上午雾散转多云。,,,
Q024,OPT089,A,安全帽,建筑施工现场头部防护装备，防止物体打击和坠落伤害。标准：GB 2811-2019。,,,acq.safety.equipment.helmet.thumb
Q024,OPT090,B,反光背心,高可视性警示服，使穿着者在施工现场更易被识别。标准：GB 20653-2006。,,,acq.safety.equipment.vest.thumb
Q024,OPT091,C,防毒面具,呼吸防护装备，用于过滤有毒有害气体和粉尘。标准：GB 2890-2009。常规测斜监测中非必需。,,,
Q024,OPT092,D,护目镜,眼部防护装备，防止飞溅物、粉尘对眼睛造成伤害。标准：GB 14866-2006。常规测斜监测中非必需。,,,
Q025,OPT093,A,滑动式测斜仪,利用重力加速度传感器测量管内各深度点倾斜角，逐点推算水平位移累积量。手持测量仪器，精度±0.02mm/500mm，量程0°~53°。,,,acq.safety.instrument.sliding.thumb
Q025,OPT094,B,固定式测斜仪,多个传感器固定安装在测斜管内不同深度，通过数据线实时传输各点倾斜角变化。固定安装传感器，精度±0.01mm/500mm，量程0°~30°。,,,
Q025,OPT095,C,静力水准仪,基于连通器原理，通过液面高度差测量各监测点的竖向沉降量。固定安装传感器，精度±0.05mm，量程±50mm。,,,
Q025,OPT096,D,收敛计,测量两点之间的距离变化，获取断面收敛变形量。手持测量仪器，精度±0.1mm，量程0~30m。,,,
Q026,OPT097,A,先连接接口，再打开电源,正确开工顺序。,,, 
Q026,OPT098,B,先打开电源，再连接接口,错误开工顺序。,,, 
Q028,OPT099,A,5针圆形插头线,5针圆形航空插头，适配滑动式测斜仪探头接口。,,,acq.instrument.cable.5pin.thumb
Q028,OPT100,B,3针圆形插头线,3针圆形航空插头，适配固定式传感器串联接口。,,,acq.instrument.cable.3pin.thumb
Q028,OPT101,C,7针矩形插头线,7针矩形接口，适配水位计数据传输。,,,acq.instrument.cable.7pin.thumb
Q028,OPT102,D,9针D-sub插头线,9针D-sub串口线，适配PC数据导出。,,,acq.instrument.cable.9pin.thumb
Q032,OPT103,A,向上,探头方向向上。,,, 
Q032,OPT104,B,向下,探头方向向下。,,, 
Q033,OPT105,A,0.5m,步长0.5m。,,, 
Q033,OPT106,B,1.0m,步长1.0m。,,, 
Q033,OPT107,C,1.5m,步长1.5m。,,, 
Q033,OPT108,D,2.0m,步长2.0m。,,, 
Q036,OPT109,A,正测,补测方向为正测。,,, 
Q036,OPT110,B,反测,补测方向为反测。,,, 
Q027,OPT111,A,0.5m,本次上下移动间距应设置为0.5m。,,, 
Q027,OPT112,B,1.0m,1.0m上下移动间距过大，不符合本次逐点采集要求。,,, 
Q027,OPT113,C,1.5m,1.5m上下移动间距过大，会遗漏关键深度点。,,, 
Q027,OPT114,D,2.0m,2.0m上下移动间距过大，不能满足本次测量精度要求。,,, 
Q037,OPT115,A,正测朝向A,正确正测朝向。,,, 
Q037,OPT116,B,正测朝向B,错误正测朝向。,,, 
Q037,OPT117,C,正测朝向C,错误正测朝向。,,, 
Q037,OPT118,D,正测朝向D,错误正测朝向。,,, 
Q038,OPT119,N,N方向,线材靠齐N方向。,,, 
Q038,OPT120,E,E方向,线材靠齐E方向。,,, 
Q038,OPT121,S,S方向,线材靠齐S方向。,,, 
Q038,OPT122,W,W方向,线材靠齐W方向。,,, 
Q051,OPT123,A,先关闭电源，再拔除线材,正确收工顺序。,,, 
Q051,OPT124,B,先拔除线材，再关闭电源,错误收工顺序。,,, 
Q052,OPT125,A,已连接,点击导入时读数仪处于已连接状态。,,, 
Q052,OPT126,B,未连接,点击导入时读数仪未连接或连接尚未完成。,,, 
Q064,OPT127,A,开挖卸荷致中部土压力释放，墙体向坑内鼓出,曲线中部位移突出且向坑内发展，符合开挖卸荷后的围护墙体鼓出变形特征。,,,
Q064,OPT128,B,支撑刚度不足致顶部位移过大,若顶部位移显著大于中下部，应优先考虑支撑或冠梁约束不足。,,,
Q064,OPT129,C,坑底嵌固不足致底部踢出,若底部位移异常增大，应考虑嵌固深度或坑底稳定问题。,,,
Q064,OPT130,D,地下水渗流致整体偏移,若全深度近似整体平移，应结合地下水和周边扰动分析。,,,
Q065,OPT131,A,安全,累计位移和变化速率均未达到预警判据。,,,
Q065,OPT132,B,黄色预警,累计位移达到或超过控制值70%的黄色预警阈值。,,,
Q065,OPT133,C,橙色预警,变形接近更高等级控制要求，需要升级处置。,,,
Q065,OPT134,D,红色预警,变形达到严重风险状态，需要立即采取应急措施。,,,
Q066,OPT135,A,8m,8m处累计位移不是本孔最大增长位置。,,,
Q066,OPT136,B,10m,10m附近累计位移最大且增长最明显。,,,
Q066,OPT137,C,12m,12m处位移较大但不是最大增长深度。,,,
Q066,OPT138,D,14m,14m处位移未达到最大增长幅度。,,,
Q067,OPT139,A,第5期,第5期增幅尚未出现明显加速特征。,,,
Q067,OPT140,B,第6期,第6期增幅开始增大但加速特征不如第7期明显。,,,
Q067,OPT141,C,第7期,第7期开始曲线斜率明显增大。,,,
Q067,OPT142,D,第8期,第8期已处于加速发展阶段但不是起始期次。,,,
Q068,OPT143,A,0~5m,浅部位移增量较小。,,,
Q068,OPT144,B,5~10m,近3期5~10m区段增量最明显。,,,
Q068,OPT145,C,10~15m,该区段包含较大位移但整体增量不是最大。,,,
Q068,OPT146,D,15~20m,深部位移增量较小。,,,
Q069,OPT147,A,9.0m、9.5m、10.0m、10.5m,9.0m未超过35mm预警阈值。,,,
Q069,OPT148,B,9.0m、9.5m、10.0m,9.0m未超过阈值且遗漏10.5m。,,,
Q069,OPT149,C,9.5m、10.0m、10.5m,这三个深度第8期累计位移超过或达到黄色预警判断范围。,,,
Q069,OPT150,D,10.0m、10.5m、11.0m,11.0m未超过35mm阈值且遗漏9.5m。,,,
Q070,OPT151,A,加速增大,10m近3期增量持续扩大。,,,
Q070,OPT152,B,匀速增大,近3期增量不是基本相同。,,,
Q070,OPT153,C,趋于收敛,位移没有收敛趋势。,,,
Q070,OPT154,D,波动变化,近3期没有表现为随机波动。,,,
Q071,OPT155,A,加密监测频次并通知设计单位复核,黄色预警且趋势加速时应加强监测并复核设计。,,,
Q071,OPT156,B,维持现有频次，继续观察,已触发预警时不宜仅维持现有频次。,,,
Q071,OPT157,C,暂停施工，启动应急预案,当前为黄色预警，尚未达到立即启动最高级应急处置的条件。,,,
Q071,OPT158,D,降低监测频次，节约成本,预警状态下不能降低监测频次。,,,
Q072,OPT159,A,缩短至3天,预警后应缩短监测间隔。,,,
Q072,OPT160,B,维持7天,黄色预警后继续维持7天不够稳妥。,,,
Q072,OPT161,C,延长至14天,预警状态下不能延长监测间隔。,,,
Q072,OPT162,D,延长至30天,预警状态下不能大幅延长监测间隔。,,,
